Michael Schumacher,4,6,Ret,1,1,1,3,1,5,3,4,7,8,1,1,8
Kimi Raikkonen,3,1,2,2,Ret,2,2,6,Ret,4,3,Ret,2,4,2,2
Juan Pablo Montoya,2,12,Ret,7,4,Ret,1,3,2,2,2,1,3,2,6,Ret
Rubens Barrichello,Ret,2,Ret,3,3,3,8,5,3,7,1,Ret,Ret,3,Ret,1
Ralf Schumacher,8,4,7,4,5,6,4,2,1,1,9,Ret,4,,Ret,12
Fernando Alonso,7,3,3,6,2,Ret,5,4,4,Ret,Ret,4,1,8,Ret,Ret
David Coulthard,1,Ret,4,5,Ret,5,7,Ret,15,5,5,2,5,Ret,Ret,3
Jarno Trulli,5,5,8,13,Ret,8,6,Ret,Ret,Ret,6,3,7,Ret,4,5
Jenson Button,10,7,Ret,8,9,4,DNS,Ret,7,Ret,8,8,10,Ret,Ret,4
Mark Webber,Ret,Ret,9,Ret,7,7,Ret,7,6,6,14,11,6,7,Ret,11
Heinz-Harald Frentzen,6,9,5,11,Ret,DNS,Ret,Ret,9,12,12,Ret,Ret,13,3,Ret
Giancarlo Fisichella,Ret,Ret,1,15,Ret,Ret,10,Ret,12,Ret,Ret,13,Ret,10,7,Ret
Cristiano Da Matta,Ret,11,10,12,6,10,9,11,Ret,11,7,6,11,Ret,9,7
Nick Heidfeld,Ret,8,Ret,10,10,Ret,11,Ret,8,13,17,10,9,9,5,9
Olivier Panis,Ret,Ret,Ret,9,Ret,Ret,13,8,Ret,8,11,5,Ret,Ret,Ret,10
Jacques Villeneuve,9,Ret,6,Ret,Ret,12,Ret,Ret,Ret,9,10,9,Ret,6,Ret,
Marc Gene,,,,,,,,,,,,,,5,,
Takuma Sato,,,,,,,,,,,,,,,,6
Ralph Firman,Ret,10,Ret,Ret,8,11,12,Ret,11,15,13,Ret,,,Ret,14
Justin Wilson,Ret,Ret,Ret,Ret,11,13,Ret,Ret,13,14,16,Ret,Ret,Ret,8,13
Antonio Pizzonia,Ret,Ret,Ret,14,Ret,9,Ret,10,10,10,Ret,,,,,
Jos Verstappen,11,13,Ret,Ret,12,Ret,Ret,9,14,16,15,Ret,12,Ret,10,15
Nicolas Kiesa,,,,,,,,,,,,12,13,12,11,16
Zsolt Baumgartner,,,,,,,,,,,,,Ret,11,,
